iter	RMSE
0	1.798123478
1	1.694273013
2	1.595432165
3	1.503741018
4	1.418440014
5	1.340857513
6	1.26963596
7	1.208057557
8	1.151617588
9	1.106890894
10	1.062260043
11	1.025256041
12	0.9925893302
13	0.9604894941
14	0.9338594791
15	0.9124039579
16	0.8889528029
17	0.8697947861
18	0.8553664507
19	0.8390336823
20	0.825042826
21	0.8132315108
22	0.802448843
23	0.7928725676
24	0.782189854
25	0.7745600296
26	0.7689224857
27	0.761198131
28	0.7555718275
29	0.7493577424
30	0.7443190521
31	0.7392475309
32	0.7338879114
33	0.7282936768
34	0.7246465364
35	0.7208229942
36	0.7175187733
37	0.7130313192
38	0.7100667579
39	0.7064014163
40	0.7028426464
41	0.7003087567
42	0.6982421837
43	0.6953572955
44	0.6928962306
45	0.6893862901
46	0.6867602578
47	0.6845776541
48	0.681778381
49	0.6790298687
50	0.6762087313
51	0.6732458859
52	0.6715697498
53	0.6699830921
54	0.6678221609
55	0.6666455655
56	0.6647766407
57	0.6632419878
58	0.6611269362
59	0.6597416474
60	0.6575502158
61	0.6561078277
62	0.6542568943
63	0.6517296826
64	0.6502468143
65	0.6481256575
66	0.646233763
67	0.644400719
68	0.6432513986
69	0.6414165033
70	0.6401678497
71	0.6391612596
72	0.6390192234
73	0.6378119315
74	0.6361625935
75	0.6354984129
76	0.6342966726
77	0.6327129214
78	0.6310336442
79	0.6297820351
80	0.6280147972
81	0.6267433283
82	0.6256708452
83	0.6247689534
84	0.6238206169
85	0.6225381459
86	0.6210433514
87	0.6202195511
88	0.6189479182
89	0.6174263785
90	0.6154167715
91	0.6140861388
92	0.6133605917
93	0.6124720814
94	0.611732979
95	0.6107200936
96	0.6096668059
97	0.6086113288
98	0.6076325072
99	0.6059683969
100	0.6049102316
101	0.6036328935
102	0.6029730036
103	0.6024223998
104	0.6012423771
105	0.600083996
106	0.5993449872
107	0.5982677825
108	0.5972063606
109	0.5961765569
110	0.595192344
111	0.5943411653
112	0.5935163708
113	0.5928905884
114	0.5917820902
115	0.5906352117
116	0.5899130084
117	0.5886577155
118	0.5877402246
119	0.5867485604
120	0.5856929148
121	0.5849994653
122	0.5840925337
123	0.5831025331
124	0.5825115295
125	0.5819849433
126	0.5812295053
127	0.5795369089
128	0.5786908712
129	0.5780871731
130	0.5764493924
131	0.5751040888
132	0.5742197018
133	0.5733121286
134	0.57224998
135	0.5716394191
136	0.5708617337
137	0.5702420626
138	0.5698664945
139	0.5690230482
140	0.5683160701
141	0.5677724719
142	0.5673807699
143	0.5664002838
144	0.5655610324
145	0.5651088702
