iter	Passed	Remaining
0	3	9605
1	6	9316
2	8	8930
3	11	8781
4	14	8752
5	17	8659
6	19	8551
7	22	8511
8	25	8532
9	28	8557
10	31	8573
11	34	8548
12	37	8583
13	40	8653
14	47	9447
15	58	10831
16	65	11477
17	72	11996
18	75	11876
19	78	11722
20	81	11598
21	84	11503
22	87	11359
23	90	11213
24	93	11097
25	95	10980
26	98	10893
27	101	10808
28	104	10723
29	107	10663
30	110	10610
31	113	10549
32	116	10503
33	119	10449
34	122	10394
35	125	10325
36	128	10271
37	131	10218
38	133	10170
39	136	10122
40	139	10093
41	142	10045
42	145	9993
43	148	9958
44	150	9913
45	153	9878
46	156	9853
47	159	9818
48	162	9784
49	165	9761
50	168	9737
51	171	9704
52	173	9671
53	176	9633
54	179	9624
55	182	9591
56	185	9565
57	188	9548
58	191	9526
59	193	9502
60	196	9480
61	199	9462
62	202	9433
63	205	9426
64	208	9398
65	210	9378
66	213	9360
67	216	9332
68	219	9320
69	222	9305
70	225	9287
71	227	9268
72	229	9196
73	232	9174
74	234	9157
75	237	9148
76	240	9133
77	243	9120
78	246	9101
79	248	9081
80	251	9068
81	254	9054
82	257	9037
83	260	9026
84	262	9016
85	266	9013
86	268	9001
87	271	8989
88	274	8983
89	277	8978
90	280	8968
91	283	8954
92	286	8947
93	289	8934
94	291	8920
95	294	8914
96	297	8897
97	300	8886
98	302	8878
99	305	8873
100	308	8868
101	311	8858
102	314	8843
103	317	8831
104	319	8819
105	322	8806
106	325	8798
107	327	8782
108	330	8775
109	333	8769
110	336	8762
111	339	8754
112	342	8745
113	345	8734
114	347	8724
115	350	8716
116	353	8708
117	356	8702
118	359	8692
119	361	8682
120	364	8676
121	367	8664
122	370	8657
123	372	8646
124	375	8639
125	378	8632
126	381	8628
127	384	8621
128	387	8614
129	389	8604
130	392	8597
131	395	8592
132	398	8591
133	401	8584
134	404	8581
135	407	8574
136	410	8571
137	413	8565
138	415	8555
139	418	8549
140	421	8540
141	423	8532
142	426	8522
143	429	8518
144	432	8515
145	435	8508
146	438	8505
147	441	8504
148	444	8498
149	447	8493
150	449	8488
151	452	8483
152	455	8478
153	458	8469
154	461	8465
155	463	8458
156	466	8450
157	469	8446
158	473	8459
159	476	8450
160	478	8443
161	481	8437
162	484	8431
163	487	8426
164	489	8417
165	492	8410
166	495	8403
167	498	8400
168	501	8392
169	503	8386
170	506	8384
171	509	8377
172	512	8371
173	515	8366
174	517	8359
175	520	8353
176	523	8345
177	525	8337
178	528	8333
179	531	8329
180	534	8324
181	537	8318
182	540	8315
183	543	8317
184	546	8310
185	548	8305
186	552	8303
187	554	8298
188	557	8296
189	560	8294
190	563	8290
191	566	8287
192	569	8281
193	572	8275
194	574	8270
195	577	8264
196	580	8259
197	583	8253
198	586	8249
199	588	8244
200	591	8239
201	594	8232
202	597	8229
203	600	8224
204	602	8219
205	605	8212
206	608	8208
207	611	8205
208	614	8201
209	616	8194
210	619	8189
211	622	8183
212	625	8178
213	627	8173
214	630	8167
215	633	8161
216	636	8157
217	638	8151
218	641	8150
219	644	8144
220	647	8140
221	650	8138
222	653	8135
223	655	8129
224	658	8125
225	661	8121
226	664	8117
227	667	8112
228	670	8108
229	672	8102
230	675	8098
231	678	8095
232	681	8091
233	684	8085
234	686	8081
235	689	8077
236	692	8072
237	695	8068
238	698	8064
239	700	8060
